мт		0.0000719407		7873
мф		0.0001537135		16822
мх		0.0000457705		5009
мц		0.0003554272		38897
мч		0.0003278497		35879
мш		0.0000251103		2748
мщ		0.0000630132		6896
мъ		0.0000016174		177
мь		0.0008272863		90536
нб		0.0001573229		17217
нв		0.0005295268		57950
нг		0.0012050367		131876
нд		0.0039102379		427926
нж		0.0002828742		30957
нз		0.0004278979		46828
нй		0.0000004295		47
нк		0.0046010077		503522
нл		0.0000690441		7556
нм		0.0000229355		2510
нн		0.0345032903		3775948
нп		0.0000311502		3409
нр		0.0007387698		80849
нс		0.0013201985		144479
нт		0.0097262149		1064411
нф		0.0007657625		83803
нх		0.0000812611		8893
нц		0.0043784876		479170
нч		0.0019407180		212387
нш		0.0000874290		9568
нщ		0.0009969541		109104
нъ		0.0000237488		2599
нь		0.0060253114		659394
пб		0.0000042947		470
пв		0.0000325666		3564
пг		0.0000046328		507
пд		0.0000053821		589
пж		0.0000011605		127
пз		0.0000011879		130
пк		0.0010268251		112373
пл		0.0082263976		900275
пм		0.0000087447		957
пн		0.0014398560		157574
пп		0.0011336351		124062
пр		0.0705699685		7722989
пс		0.0006369033		69701
пт		0.0009412693		103010
пф		0.0000170783		1869
пх		0.0000061405		672
пц		0.0002204458		24125
пч		0.0002225566		24356
пш		0.0001067277		11680
пщ		0.0000182113		1993
пъ		0.0000000822		9
пь		0.0007998002		87528
рб		0.0011354718		124263
рв		0.0043161780		472351
рг		0.0041881138		458336
рд		0.0022978905		251475
рж		0.0030319727		331811
рз		0.0003294123		36050
рй		0.0000001553		17
рк		0.0034241241		374727
рл		0.0010263408		112320
рм		0.0049820659		545224
рн		0.0099647258		1090513
рп		0.0010420576		114040
рр		0.0007790577		85258
рс		0.0014148371		154836
рт		0.0065942672		721659
рф		0.0004469407		48912
рх		0.0014785266		161806
рц		0.0007889173		86337
рч		0.0010550787		115465
рш		0.0024012282		262784
рщ		0.0002338050		25587
ръ		0.0000001736		19
рь		0.0044820812		490507
сб		0.0005999507		65657
св		0.0157410454		1722658
сг		0.0001990180		21780
сд		0.0020429866		223579
сж		0.0001844343		20184
сз		0.0001021406		11178
сй		0.0000007493		82
ск		0.0247742519		2711228
сл		0.0278135438		3043840
см		0.0073291901		802087
сн		0.0110502329		1209308
сп		0.0132093042		1445591
ср		0.0038801111		424629
сс		0.0071662292		784253
ст		0.0699405032		7654102
сф		0.0004858854		53174
сх		0.0018975792		207666
сц		0.0006744408		73809
сч		0.0031327884		342844
сш		0.0010370776		113495
сщ		0.0000167950		1838
съ		0.0003683112		40307
сь		0.0229042958		2506585
тб		0.0002871872		31429
тв		0.0065943403		721667
тг		0.0000742069		8121
тд		0.0016916988		185135
тж		0.0000171605		1878
тз		0.0000893297		9776
тй		0.0000001188		13
тк		0.0045049984		493015
тл		0.0020336114		222553
тм		0.0007913296		86601
